in:Index,out:Result,out:EveningAverageSunhoursLoss,out:MaxSunhoursLoss,out:AverageSunhoursLoss,out:Volume,img
1453,3,0.205042,16,0.492235,237247.924081,{29;3}_OptimizationIsoViewSW.png
1454,1.5,0.116081,9,0.269975,164284.540825,{29;4}_OptimizationIsoViewSW.png
1455,2.75,0.182112,18,0.472541,238777.459408,{29;5}_OptimizationIsoViewSW.png
1456,2,0.153641,18,0.378995,220896.841175,{29;6}_OptimizationIsoViewSW.png
1457,2.5,0.177104,14,0.415963,222518.914108,{29;7}_OptimizationIsoViewSW.png
1458,2.75,0.184476,17,0.469615,235571.260306,{29;8}_OptimizationIsoViewSW.png
1459,2.25,0.167089,17,0.418383,222518.914108,{29;9}_OptimizationIsoViewSW.png
1460,2.25,0.15606,15,0.380571,216169.47687,{29;10}_OptimizationIsoViewSW.png
1461,1.5,0.144047,12,0.347147,188536.953243,{29;11}_OptimizationIsoViewSW.png
1462,1.75,0.138223,11,0.333558,203128.173878,{29;12}_OptimizationIsoViewSW.png
1463,2.75,0.181831,16,0.465648,233918.128655,{29;13}_OptimizationIsoViewSW.png
1464,2,0.123987,11,0.29071,183755.972069,{29;14}_OptimizationIsoViewSW.png
1465,1.5,0.117348,9,0.283705,175623.463295,{29;15}_OptimizationIsoViewSW.png
1466,2.75,0.174685,18,0.444829,235571.260306,{29;16}_OptimizationIsoViewSW.png
1467,1.5,0.104968,9,0.235652,156201.187129,{29;17}_OptimizationIsoViewSW.png
1468,2,0.130852,11,0.327228,193461.017605,{29;18}_OptimizationIsoViewSW.png
1469,1.75,0.124353,12,0.310123,193461.017605,{29;19}_OptimizationIsoViewSW.png
1470,1.75,0.133103,12,0.321376,196656.833825,{29;20}_OptimizationIsoViewSW.png
1471,2.25,0.177723,18,0.463341,225835.591689,{29;21}_OptimizationIsoViewSW.png
1472,2,0.137126,11,0.325653,190150.218673,{29;22}_OptimizationIsoViewSW.png
1473,2,0.145003,16,0.355137,207943.439384,{29;23}_OptimizationIsoViewSW.png
1474,1.25,0.10916,9,0.252504,157753.588894,{29;24}_OptimizationIsoViewSW.png
1475,2.75,0.154597,15,0.381808,211237.853823,{29;25}_OptimizationIsoViewSW.png
1476,1.75,0.131977,12,0.323093,195045.835771,{29;26}_OptimizationIsoViewSW.png
1477,1.25,0.109695,10,0.245077,154535.620461,{29;27}_OptimizationIsoViewSW.png
1478,2,0.152797,16,0.369823,216169.47687,{29;28}_OptimizationIsoViewSW.png
1479,2.25,0.160618,14,0.389545,214500.2145,{29;29}_OptimizationIsoViewSW.png
1480,2,0.12289,11,0.258271,165920.026547,{29;30}_OptimizationIsoViewSW.png
1481,2.25,0.116532,13,0.261873,165920.026547,{29;31}_OptimizationIsoViewSW.png
1482,2.25,0.15561,15,0.383159,212856.534696,{29;32}_OptimizationIsoViewSW.png
1483,2.25,0.111017,13,0.257287,161030.595813,{29;33}_OptimizationIsoViewSW.png
1484,2,0.126857,11,0.315637,186950.831931,{29;34}_OptimizationIsoViewSW.png
1485,1.75,0.148858,9,0.371117,199960.007998,{29;35}_OptimizationIsoViewSW.png
1486,1.5,0.118248,14,0.278078,169118.89058,{29;36}_OptimizationIsoViewSW.png
1487,1.75,0.124578,9,0.299263,183755.972069,{29;37}_OptimizationIsoViewSW.png
1488,2.25,0.150405,13,0.363324,209643.60587,{29;38}_OptimizationIsoViewSW.png
1489,1.25,0.122187,10,0.287081,173973.556019,{29;39}_OptimizationIsoViewSW.png
1490,2.25,0.167089,14,0.426542,217722.62138,{29;40}_OptimizationIsoViewSW.png
1491,1.5,0.114731,10,0.262098,162680.982593,{29;41}_OptimizationIsoViewSW.png
1492,2,0.163319,14,0.399167,211237.853823,{29;42}_OptimizationIsoViewSW.png
1493,2,0.161884,16,0.407411,220896.841175,{29;43}_OptimizationIsoViewSW.png
1494,1.5,0.109976,10,0.250422,159413.358839,{29;44}_OptimizationIsoViewSW.png
1495,2,0.158283,14,0.38178,206398.348813,{29;45}_OptimizationIsoViewSW.png
1496,1.75,0.141262,11,0.32222,190150.218673,{29;46}_OptimizationIsoViewSW.png
1497,1.75,0.139348,11,0.331645,196656.833825,{29;47}_OptimizationIsoViewSW.png
1498,2.25,0.160336,16,0.390783,217722.62138,{29;48}_OptimizationIsoViewSW.png
1499,1.25,0.10916,9,0.252504,157753.588894,{29;49}_OptimizationIsoViewSW.png
